race_name,race_date,distance_labels,region,location_detail,host_org,registration_status,source_url,source,tier
제14회설악산공룡능선CLIMBATHON,2026-09-03,27km,강원,설익산한계령휴계소,(사)한국산악마라톤연맹,접수마감,https://gorunning.kr/races/802/14th-seoraksan-gongrung-neungseon-climbathon/,gorunning.kr,Tier2
2026 다이나핏 태백 트레일,2026-09-05,50k 32k-T 32k-U,강원,태백 소원지 오토캠핑장,"태백시, 태백시 철인3종 협회",접수마감,https://gorunning.kr/races/1100/2026-dynafit-taebaek-trail/,gorunning.kr,Tier2
제12회 I LOVE 방송대 마라톤,2026-09-05,10km 5km,서울,상암동 평화광장,한국방송통신대학교 전국 총동문,접수마감,https://gorunning.kr/races/1163/12th-i-love-knou-marathon/,gorunning.kr,Tier2
2026 JUST RUN10 하반기 세종,2026-09-05,10km 5km,세종,세종마루공원 밑 금강변,"(주)러닝브레이커, 전국러닝협회",접수마감,https://gorunning.kr/races/1174/2026-just-run10-sejong/,gorunning.kr,Tier2
제23회 철원DMZ국제평화마라톤,2026-09-05,풀 하프 10km,강원,철원 고석정,"철원군, 한국일보",접수마감,https://gorunning.kr/races/938/23rd-cheorwon-dmz-international-peace-marathon/,gorunning.kr,Tier2
제20회 순천만울트라마라톤대회,2026-09-05,100km,전남,순천동천천변공원,순천만울트라조직위,접수마감,https://gorunning.kr/races/1096/20th-suncheonman-ultra-marathon/,gorunning.kr,Tier2
제2회 2026 Vrun,2026-09-05,10km 5km,서울,신정교하부육상트랙구장,(사)대한생활체육마라톤협회,접수마감,https://gorunning.kr/races/1126/2026-vrun-2nd/,gorunning.kr,Tier2
2026 이일선마라톤,2026-09-05,10km 4.4km걷기,경북,울릉도내 나리분지,이일선기념사업회,접수마감,https://gorunning.kr/races/1230/2026-lee-ilseon-marathon/,gorunning.kr,Tier2
희망드림 제23회 새벽강변 국제마라톤,2026-09-06,하프 10km 5km 3km가족런,서울,목동종합운동장,(사)한국마라톤협회,접수마감,https://gorunning.kr/races/700/23rd-hope-dream-dawn-riverside-international-marathon/,gorunning.kr,Tier2
2026 전마협회장배 청주마라톤,2026-09-06,10km 5km,충북,청주 무심천 체육공원,전국마라톤협회,접수마감,https://gorunning.kr/races/1158/2026-kma-cheongju-marathon/,gorunning.kr,Tier2
제24회 청광종주TRAILRUNNING,2026-09-06,26km,서울,양재동 화물,(사)한국산악마라톤연맹,접수마감,https://gorunning.kr/races/847/24th-cheonggwang-jongju-trail-running/,gorunning.kr,Tier2
제11회 김대중 평화 마라톤 대회,2026-09-06,하프 10km 5km,서울,뚝섬 한강공원 수변무대,김대중재단,접수마감,https://gorunning.kr/races/1113/11th-kim-daejung-peace-marathon/,gorunning.kr,Tier2
2026 문경새재 트레일런,2026-09-06,13km,경북,문경새재도립공원 제1주차장,파브코리아,접수마감,https://gorunning.kr/races/1303/2026-mungyeong-saejae-trail-run/,gorunning.kr,Tier2
제9회 인천 서구청장배 단축마라톤,2026-09-06,10km 4.3km,인천,청라호수공원 멀티프라자 트랙,인천시서구육상연맹,접수마감,https://gorunning.kr/races/1153/9th-incheon-seogu-short-marathon/,gorunning.kr,Tier2
2026 봉화송이 전국마라톤,2026-09-06,하프 10km 5km,경북,봉화공설운동장,"봉화군체육회, 매일신문사",접수마감,https://gorunning.kr/races/941/2026-bonghwa-songi-marathon/,gorunning.kr,Tier2
