race_name,race_date,region,location_detail,host_org,registration_status,source_url,source,tier,distance_labels,reg_start,reg_end
순천만국가정원 챌린지가든런,2026-07-25,전남,순천만국가정원 동문,순천만국가정원,접수마감,https://marathongo.co.kr/raceDetail/domestic/suncheonman-national-garden-challenge-garden-run-2026-07-25,marathongo.co.kr,Tier2,10km,2026-07-09,2026-07-17
사우나런 in 올림픽공원,2026-07-31,서울,올림픽 공원 인근,사우나런,접수중,https://marathongo.co.kr/raceDetail/domestic/saunarun-olympicpark-2026-07-31,marathongo.co.kr,Tier2,10km 5km,2026-06-12,2026-07-31
사우나런 in 석촌호수,2026-07-31,서울,석촌 호수 인근,사우나런,접수중,https://marathongo.co.kr/raceDetail/domestic/saunarun-seokchonlake-june2026,marathongo.co.kr,Tier2,10km 5km,2026-06-01,2026-07-31
2026 나이트런 부산,2026-08-01,부산,광안리 해변,-,접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-night-run-busan,marathongo.co.kr,Tier2,미정,2026-06-01,2026-07-01
2026 인사이더런 S,2026-08-01,서울,"일산 킨텍스 제2전시장 7,8",러너블,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-insiderun-s-10km-race-aug01,marathongo.co.kr,Tier2,10km,2026-03-26,2026-07-30
2026 쿨밸리트레일레이스,2026-08-02,전북,장수종합경기장,(주)락앤런,접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-cool-valley-trail-race,marathongo.co.kr,Tier2,18K,2026-05-11,2026-07-10
2026 양산 어필(up-hill) 레이스,2026-08-08,경남,양산 에덴밸리 리조트 루지장,"양산시, 부산MBC",접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-yangsan-uphill-race,marathongo.co.kr,Tier2,1.7Km,2026-06-08,2026-07-23
제1회 테마임도 트레일런,2026-08-08,부산,부산스포원,코리안런조직위,접수마감,https://marathongo.co.kr/raceDetail/domestic/1st-themeimdo-trailrun-2026-08-08,marathongo.co.kr,Tier2,50km,2026-06-01,2026-06-30
2026 INCHEON NIGHT RACE,2026-08-15,인천,인천 영정구 중산동 1946,국민건강진흥원,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-incheon-night-race,marathongo.co.kr,Tier2,8.15km,2026-07-07,2026-08-08
2026 전마협 광복절 무료 초청 마라톤,2026-08-15,대전,대전엑스포다리 밑,전국마라톤협회,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-jeonmahyeop-gwangbokjeol-free-invitation-marathon,marathongo.co.kr,Tier2,10km 5km,2026-06-15,2026-07-31
2026 안양천 달빛 나이트런,2026-08-15,서울,신정교 하부 영롱이 억새구장,(사)대한이에스지협회,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-anyangcheon-moonlight-nightrun,marathongo.co.kr,Tier2,10km 5km,2026-06-05,2026-08-06
-P2026 장수 나이트 트레일,2026-08-15,전북,장수종합경기장,(주)락앤런,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-jangsu-night-trail,marathongo.co.kr,Tier2,38K,2026-05-15,2026-07-31
9봉 85k영남알프스9봉 트레일 레이스,2026-08-15,경남,울주군 등억알프스온천호텔(복합센터부근),JYD자연을달린다,접수마감,https://marathongo.co.kr/raceDetail/domestic/yeongnam-alps-9peak-trail-race-2026-08-15,marathongo.co.kr,Tier2,미정,2026-04-01,2026-07-15
제38회 지리산화대종주 Trail Run,2026-08-15,전남,화엄사주차장,(사)한국산악마라톤연맹,접수중,https://marathongo.co.kr/raceDetail/domestic/38th-jirisan-hwadaejongju-trail-run-2026,marathongo.co.kr,Tier2,48km 40km,2025-12-05,2028-07-31
2026Happy700평창대관령전국하프마라톤,2026-08-16,강원,2018 평창동계올림픽 기념관,한국실업육상연맹,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-happy700-pyeongchang-daegwallyeong-national-half-marathon,marathongo.co.kr,Tier2,하프 10km,2026-06-10,2026-07-25
제2회 한양도성길 트레일런,2026-08-22,서울,낙산공원중앙광장(낙산길54),파브코리아,접수중,https://marathongo.co.kr/raceDetail/domestic/2nd-hanyangdoseong-trailrun-2026,marathongo.co.kr,Tier2,20km,2026-06-15,2026-08-20
35세이상일반인3000명2026대구세계마스터즈 10km대회,2026-08-23,대구,대구스타디움 일원,"대구광역시,세계마스터즈육상연맹",접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-daegu-world-masters-10km,marathongo.co.kr,Tier2,10km,2025-12-23,2026-06-23
2026 금수산트레일러닝대회,2026-08-23,충북,청풍리조트,제천시산악연맹,접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-geumsusan-trail-running,marathongo.co.kr,Tier2,22km,2026-04-07,2026-05-31
2026 대구세계마스터즈 10km마라톤,2026-08-23,대구,대구스타디움 일원,"대구광역시, 세계마스터즈육상연",접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-daegu-world-masters-10km-marathon,marathongo.co.kr,Tier2,10km,2025-12-23,2026-06-23
2026 단양달빛레이스,2026-08-29,충북,단양생태체육공원,단양군육상연맹,접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-danyang-moonlight-race,marathongo.co.kr,Tier2,10km 5km,2026-06-10,2026-07-17
2026 전마협 증평 무료 마라톤,2026-08-29,충북,증평군 다목적운동장 일원,전국마라톤협회,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-jeonmahyeop-jeungpyeong-free-marathon,marathongo.co.kr,Tier2,10km,2026-06-08,2026-07-29
제16회 성북구청장배육상대회,2026-08-30,서울,성북구 중랑천 체육공원,성북구육상연맹,접수중,https://marathongo.co.kr/raceDetail/domestic/16th-seongbuk-gu-mayor-marathon-2026,marathongo.co.kr,Tier2,10km 5km,2026-07-15,2026-08-10
제3회 GO대관령 국제 트레일런,2026-08-30,강원,평창동계올림픽기념공원,"국대레포츠, 대관령면체육회",접수중,https://marathongo.co.kr/raceDetail/domestic/3rd-go-daegwallyeong-international-trailrun-2026,marathongo.co.kr,Tier2,10km 20.18km 44km,2026-05-22,2026-07-31
제3회 한강 서울 하프 마라톤,2026-08-30,서울,여의도 한강공원 물빛광장,(사)국민성공시대,접수중,https://marathongo.co.kr/raceDetail/domestic/3rd-hangang-seoul-half-marathon-2026-08-30,marathongo.co.kr,Tier2,하프 10km 5km,2026-05-13,2026-08-23
2026 대구세계마스터즈 하프마라톤대회,2026-08-30,대구,신천동로 일원,"대구광역시, 세계마스터즈육상연맹(WMA)",접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-daegu-world-masters-half-marathon,marathongo.co.kr,Tier2,하프,2025-12-23,2026-06-23
사우나런 in 뚝섬한강공원,2026-08-31,서울,뚝섬한강공원 인근,사우나런,접수중,https://marathongo.co.kr/raceDetail/domestic/saunarun-2026-08-31-ttukseom-hangang-park,marathongo.co.kr,Tier2,10km 5km,2026-07-06,2026-08-31
2026 이일선마라톤,2026-09-05,경북,울릉도내 나리분지,이일선기념사업회,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-ileelseon-marathon,marathongo.co.kr,Tier2,10km 4.4km 걷기,2026-07-14,2026-08-18
2026 하반기 JUST RUN10 세종,2026-09-05,세종,세종마루공원 밑 금강변,"(주)러닝브레이커, 전국러닝협회",접수마감,https://marathongo.co.kr/raceDetail/domestic/just-run10-sejong-2026-fall,marathongo.co.kr,Tier2,10km 5km,2026-06-19,2026-07-15
제12회 I LOVE 방송대 마라톤,2026-09-05,서울,상암동 평화광장,한국방송통신대학교 전국 총동문,접수중,https://marathongo.co.kr/raceDetail/domestic/12th-i-love-broadcast-marathon-2026,marathongo.co.kr,Tier2,10km 5km,2026-06-30,2026-07-31
제2회 2026 Vrun,2026-09-05,서울,신정교하부육상트랙구장,(사)대한생활체육마라톤협회,접수중,https://marathongo.co.kr/raceDetail/domestic/2nd-2026-vrun-marathon,marathongo.co.kr,Tier2,10km 5km,2026-05-26,2026-08-12
제20회 순천만울트라마라톤대회,2026-09-05,전남,순천동천천변공원,순천만울트라조직위,접수중,https://marathongo.co.kr/raceDetail/domestic/20th-suncheonman-ultramarathon-2026,marathongo.co.kr,Tier2,100km,2026-04-01,2026-08-24
