race_name,race_date,region,location_detail,host_org,registration_status,source_url,source,tier,distance_labels,reg_start,reg_end
순천만국가정원 챌린지가든런,2026-07-25,전남,순천만국가정원 동문,순천만국가정원,접수마감,https://marathongo.co.kr/raceDetail/domestic/suncheonman-national-garden-challenge-garden-run-2026-07-25,marathongo.co.kr,Tier2,10km,2026-07-09,2026-07-17
사우나런 in 석촌호수,2026-07-31,서울,석촌 호수 인근,사우나런,접수중,https://marathongo.co.kr/raceDetail/domestic/saunarun-seokchonlake-june2026,marathongo.co.kr,Tier2,10km 5km,2026-06-01,2026-07-31
2026 나이트런 부산,2026-08-01,부산,광안리 해변,-,접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-night-run-busan,marathongo.co.kr,Tier2,미정,2026-06-01,2026-07-01
2026 대구세계마스터즈 10km대회,2026-08-23,대구,대구스타디움 일원,"대구광역시,세계마스터즈육상연맹",접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-daegu-world-masters-10km,marathongo.co.kr,Tier2,10km,2025-12-23,2026-06-23
2026 대구세계마스터즈 하프마라톤대회,2026-08-30,대구,신천동로 일원,"대구광역시, 세계마스터즈육상연맹(WMA)",접수마감,https://marathongo.co.kr/raceDetail/domestic/2026-daegu-world-masters-half-marathon,marathongo.co.kr,Tier2,하프,2025-12-23,2026-06-23
2026 하반기 JUST RUN10 세종,2026-09-05,세종,세종마루공원 밑 금강변,"(주)러닝브레이커, 전국러닝협회",접수마감,https://marathongo.co.kr/raceDetail/domestic/just-run10-sejong-2026-fall,marathongo.co.kr,Tier2,10km 5km,2026-06-19,2026-07-15
나이트런 in 청주,2026-09-12,충북,무심천 체육공원,나이트런 플러스,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-nightrun-in-chungju,marathongo.co.kr,Tier2,10km 5km,2026-05-21,2026-08-30
제16회 스마일 런 페스티벌,2026-09-13,서울,상암동 평화의공원 평화광장,(사)대한치과의사협회,접수중,https://marathongo.co.kr/raceDetail/domestic/16th-smile-run-festival-2026-09-13,marathongo.co.kr,Tier2,하프 10km 5km 걷기,2026-07-01,2026-08-01
2026 인천송도국제하프마라톤,2026-09-20,인천,송도인천대캠퍼스 정문앞,(주)경인일보,접수중,https://marathongo.co.kr/raceDetail/domestic/2026-incheon-songdo-international-half-marathon,marathongo.co.kr,Tier2,하프 10km 5km,2026-07-08,2026-08-07
2026 S오일 감동의 마라톤,2026-10-04,서울,상암동 평화의 광장,"더윙, S오일",접수전,https://marathongo.co.kr/raceDetail/domestic/2026-soil-gamdong-marathon,marathongo.co.kr,Tier2,하프 10km 5km,2026-08-01,2026-08-31
