race_name,official_url,reg_start,reg_end,contact
2026 DMZ OPEN 평화마라톤,http://dmzopenrun.kr,2026-08-01,2026-08-01,ceo@blueimg.co.kr / 031-575-7243
2026 에너지 히어로 레이스,http://www.herorace.kr,2026-07-20,2026-08-31,taesung@cotin.co.kr / 02-6285-7428
2026 금수산트레일러닝대회,http://www.runnerking.com,2026-04-07,2026-05-31,runner_king@naver.com / 010-9359-0302
2026 경청마라톤,http://storyrun.kr,2026-07-07,2026-10-07,run@storyrun.kr / 02-2636-7775
2026 한돈런,http://handonrun.com,2026-06-26,2026-08-30,emara@hanmail.net / 070-1566-1936
2026 이일선마라톤,http://forms.gle/6Y88RJqW6QCZkZoE7,2026-07-14,2026-08-18,kimcj@daezer.com / 010-6353-7227
2026 INCHEON NIGHT RACE,http://icnr.kr,2026-07-07,2026-08-08,webbi110120@naver.com / 070-4098-1114
2026 인사이더런 S,http://insiderun.me,2026-03-26,2026-07-30,runable@joins.com / 02-2031-1935
2026 장수 나이트 트레일,http://rocknrun.kr,2026-05-15,2026-07-31,info@rocknrun.kr / 063-353-2025
2026 전마협 광복절 무료 초청 마라톤,http://mara1080.com/event/9e568eef-64ff-4548-881f-3a420689dece,2026-06-15,2026-07-31,jangmd@naver.com / 042-638-1080
