race_name,official_url,reg_start,reg_end,contact
백범 김구 선생 탄생 150주년 기념 손기정 하천 마라톤,https://funandrun.co.kr,2026-07-25,2026-08-21,02-6341-1153
제14회설악산공룡능선CLIMBATHON,http://koreatrail.net,2025-11-13,2026-08-25,02-424-2195
2026 다이나핏 태백 트레일,http://taebaektrail.com/,2026-05-11,2026-05-11,010-5605-9059
2026 JUST RUN10 하반기 세종,https://runten.co.kr,2026-06-19,2026-07-15,042-710-2058
2026 전마협회장배 청주마라톤,https://mara1080.com/event/a9780087-8fc3-4849-a234-7659978f6792,2026-06-10,2026-08-06,042-638-108
제24회 청광종주TRAILRUNNING,http://koreatrail.net,2025-12-18,2026-08-30,02-424-2195
제9회 인천 서구청장배 단축마라톤,https://www.sgicaaf.co.kr,2026-06-10,2026-08-10,010-2082-0138
2026 샌드런 IN 영덕,https://sandrun.co.kr/,2026-03-16,2026-07-06,010-2584-0474
빵트레일런 2026,http://bbangtrailrun.co.kr,2026-03-31,2026-09-12,02-364-1986
2026 장수 레드푸드레이스,http://rocknrun.kr/REDFOODRACE,2026-07-16,2026-08-31,010-5056-1523
2026 여수 백리섬섬트레일런,http://speedtrailrun.kr/,2026-07-17,2026-07-17,010-6449-5073
2026 양양 강변 전국 마라톤,https://yrun.co.kr,2026-02-27,2026-03-20,033-248-5019
2026 히어로레이스,https://web.runit.co.kr/races/1120,2026-07-14,2026-08-14,070-7727-1751
달리는 세상 10km 런,https://mara1080.com/event/0674df45-473c-4182-bed4-d15582fb8c73/guide/overview,2026-07-15,2026-08-31,042-638-1080
2026 포항 이차전지 마라톤,https://energyrun.co.kr/,2026-06-29,2026-09-11,054-1600-4525
2026 포항2차전지 전국마라톤대회,https://energyrun.co.kr/,2026-06-29,2026-09-11,054-1600-4525
제 16회 스마일 런 페스티벌(예정),https://www.smilerun.co.kr,2026-07-01,2026-08-01,02-2632-0912
2026 울진 금강송배 힐링마라톤,http://www.ujrun.kr,2025-09-15,2026-07-29,010-9853-2686
2026 런서울런,http://runseoulrun.com,2026-06-29,2026-07-29,02-338-0344
제19회 구로구청장배 안양천 단풍 마라톤대회,https://cafe.daum.net/guro-run/LvM7/45,2026-08-03,2026-08-14,010-7734-3840
2026 장수트레일레이스 Fall,http://rocknrun.kr,2026-02-20,2026-06-10,063-352-2025
제18회 사이버 영토 수호 마라톤,https://www.cyber-run.com,2026-06-17,2026-08-12,070-7706-1011
2026 JUST RUN10 김해 대동,https://runten.co.kr,2026-07-03,2026-07-31,042-710-2058
2026 안양천 하프 마라톤,https://aychalf.kr,2026-07-06,2026-09-10,02-888-8875
시포레 RUN & FIT with 디스커버리,http://cityforestival.kr/,2026-07-16,2026-08-31,02-6285-7428
2026 금산인삼축제 마라톤,https://mara1080.com/event/2044eb82-fcdb-4e56-b79b-f3543a6a360d,2026-04-17,2026-08-19,042-638-1080
제4회 문경 오미자런,http://www.omijarun.com,2026-07-10,2026-08-03,010-2805-9016
2026 공주마라톤,http://www.gongjumarathon.com/,2026-05-14,2026-05-21,02-361-1425
2026 인천송도국제마라톤대회,https://songdorun.net,2026-07-08,2026-08-07,1866-1718
2026 울산남구육상연맹 회장배 단축마라톤,https://modern-infinity-9e6.notion.site/2026-395918810cc28075b602c0e076d8d3ea,2026-07-15,2026-09-19,010-9360-0113
제19회 가평자라섬 전국마라톤,https://gprun.com/,2026-04-01,2026-05-30,02-2647-4488
제2회 마포구청장배 마라톤 대회,https://mara1080.com/event/53b338c6-d38a-47b3-9479-080b00c6113a,2026-06-23,2026-08-20,042-638-1080
2026(20회) 선사마라톤 축제,http://www.gomarathon.co.kr/,2026-06-08,2026-06-11,02-476-7330
2026 안산마라톤,https://ansanrun.com,2026-07-06,2026-09-19,1600-3962
