race_name,official_url,reg_start,reg_end,contact
2026 Trans Jeju UTMB,https://transjeju.utmb.world/ko,2026-03-18,2026-05-16,
2026 완주트레일런,http://samsamis.com,2026-06-19,2026-08-31,010-2116-0148
2026 마스터즈 하프 마라톤,https://mastershalf.kr/,2026-07-07,2026-09-21,02-2636-6543
2026 JUST RUN10 청주,https://runten.co.kr,2026-07-14,2026-08-14,042-710-2058
제2회 아산이순신 트레일,http://isunshintrail.com,2026-02-01,2026-09-20,041-546-8406
제25회 김제새만금 지평선 전국마라톤,http://gimjesm.co.kr,2026-05-20,2026-06-20,063-548-0095
2026 천사데이기념 동두천천사마라톤,https://hope1004.org,2026-06-04,2026-09-30,031-861-1004
2026 S-OIL 50주년 감동의 마라톤,https://xn--439ar1m25cg1c810a7ro.com,2026-08-01,2026-08-31,010-2499-6616
2026 YTN 서울투어마라톤,https://run.ytn.co.kr,2026-04-30,2026-04-30,070-7725-6258
2026 Run Your Way Seoul 10K,https://www.nbkorea.com/launchingCalendar/detail.action?listStatus=H&launchingIdx=3117,2026-07-31,2026-08-02,02-312-1998
제20회 달서하프마라톤,http://www.달서하프마라톤.kr,2026-05-20,2026-06-30,053-635-8683
2026 파주북시티마라톤,http://runbookcity.com,2026-05-04,2026-08-10,031-955-0025
2026 안동마라톤,http://www.admarathon.kr,2026-04-13,2026-05-31,031-575-7243
2026 홍천사랑마라톤,http://www.hongcheonrun.net/,2026-05-19,2026-08-31,1866-1718
2026서울오픈마라톤,https://seoulopen.or.kr,2026-04-24,2026-05-10,070-7766-1238
제12회 시흥시 전국하프마라톤,http://shmarathon.kr,2026-07-22,2026-10-04,031-575-7243
제26회 홍성마라톤,https://amarunhs.com,2026-04-14,2026-05-29,02-2647-4488
WYD와 함께하는 생명사랑 마라톤/걷기 대회,https://cafe.naver.com/browna6seu,2026-08-02,2026-08-23,010-8235-0759
2026 한글런,http://hangeulrun.com,2026-06-01,2026-09-04,02-338-0344
2026 수원교구 생명사랑 마라톤,http://cafe.naver.com/browna6seu,2026-08-03,2026-08-24,010-8235-0759
빵빵런 2026 in 대전,http://bbangrun.com,2026-06-30,2026-07-02,02-364-1986
제5회 무등산지오마라톤,https://georun.kr/ko/,2026-05-18,2026-06-18,061-375-1201
제4회 강서허준런(RUN),http://강서허준런.com,2026-07-01,2026-07-09,02-2600-6795
제9회 거제시장배 섬꽃 전국 마라톤,https://mara1080.com/event/b43655f0-60be-4c97-ad62-d377f6586ae0,2026-05-08,2026-09-10,042-638-1080
2026 경포마라톤,http://www.경포마라톤.com,2026-05-01,2026-06-30,033-651-0112
충주 앙성 비내길 마라톤 대회,https://mara1080.com/event/380079d2-ab1c-4351-b1f2-d21ccaba5cdd/guide/overview,2026-07-15,2026-09-10,042-638-1080
제7회 천안삼거리 흥타령울트라마라톤,http://www.chultra.kr/,2026-02-01,2026-09-30,010-2412-5294
2026 서울레이스,http://www.seoul-race.co.kr,2026-05-11,2026-05-27,02-312-1998
2026 MBN 전국 나주 마라톤대회,https://najumarathon.com/,2026-04-20,2026-10-10,010-2426-1070
제10회 가을철 산불조심마라톤,http://www.koreatrail.net/home/main.php?link=event&einc=eindex&csno=20190605121808&opp=20260203121910#baseline,2026-02-23,2026-09-15,02-424-2195
2026 평택항마라톤,https://www.ptportmarathon.com/,2026-06-15,2026-07-15,1600-3962
2026 문경 오미자 하프마라톤,https://mgmarathon.kr,2026-07-10,2026-08-28,1600-3949
2026 대전 Dtrail 레이스,http://dtrail.co.kr,2026-06-17,2026-09-17,042-544-3809
제24회 청원생명쌀대청호마라톤,https://race.cjsports.or.kr/,2026-05-04,2026-06-12,043-279-8073
