race_name,official_url,reg_start,reg_end,contact
2026 정선동강 마라톤,https://jsrun.kr,2026-06-23,2026-07-22,1600-3962
제7회 충청남도 태안 전국어울림마라톤,http://www.충남전국어울림마라톤.kr,2026-07-22,2026-09-17,02-785-1915
제2회 10.19 평화마라톤,http://ys1019.kr/,2026-07-24,2026-09-20,061-921-9900
2026 전남광주통합특별시 남구청장배 마라톤,https://cafe.daum.net/6507447/Ep6u,2026-07-10,2026-09-17,010-9475-3735
2026 U+ 119 메모리얼런,http://119memorial.com/,2026-07-22,2026-09-14,070-4350-5636
2026 아시아 오픈 마라톤,http://aomseries.imweb.me,2026-02-01,2026-09-30,02-769-5000
그린스텝 2026,http://www.greenstep.co.kr/,2026-07-01,2026-07-24,061-270-9212
제22회 대구 북구사랑 마라톤,http://maraton.dbsfa365.co.kr/,2026-08-03,2026-08-24,053-958-0660
제25회 대청호마라톤,https://www.dcmarathon.or.kr/,2026-06-10,2026-07-13,042-934-8890
제23회 여주 세종대왕 마라톤,https://mara1080.com/event/edaee6e1-0d92-4248-9927-06ed3b0abfd0,2026-06-02,2026-09-18,042-638-1080
제19회 중랑구청장배 장미 마라톤,http://www.jnrun.co.kr,2026-07-15,2026-10-11,02-3285-5556
2026 SBS RUN&MUSIC FESTIVAL in 안동,https://runmusicfestival.localvibehub.com/,2026-07-24,2026-09-19,02-1566-1936
2026 제3회 감성런,http://xn--439a68tboh.kr/index.asp,2026-06-18,2026-09-07,1644-4219
2026 익산 기부런,http://iksangiverun.or.kr,2026-07-14,2026-08-31,063-832-0033
2026 하남 어텀 패밀리 마라톤,https://hnrun.kr,2026-07-07,2026-10-14,02-2606-8187
2026 경기옛길 함께RUN,https://ggcrun.kr/,2026-07-09,2026-08-08,1600-3962
네이버웍스와 함께하는 SEJONG RUN 26,https://sejongrun26.com,2026-07-31,2026-09-24,010-8468-5148
2026 광명평화마라톤,https://gmrun.kr,2026-07-01,2026-07-13,1600-3962
2026 청송사과트레일런,http://csmarathon.co.kr/csmarathon/,2026-03-16,2026-08-30,031-575-7243
K-RUN 챌린지,http://www.irunman.kr,2026-06-22,2026-09-30,02-3210-1666
제19회 청도반시 전국마라톤,http://청도반시마라톤.kr,2026-07-20,2026-08-28,1600-3949
2026 무안 해안 노을길 걷기 및 마라톤,https://mara1080.com/event/d596615e-cf32-4f20-bdbe-13b633f51c4e,2026-06-15,2026-10-01,042-638-1080
제21회 울산인권마라톤,https://www.humanrun.org,2026-08-18,2026-09-18,052-242-1119
2026 김천전국마라톤대회,http://gcmarathon.co.kr,2026-07-06,2026-09-25,1600-3949
제15회 부여 굿뜨래 마라톤 대회,https://mara1080.com/event/ffc023fc-7a54-4610-bdd6-2bb9a1028122,2026-06-30,2026-10-07,042-638-1080
2026 포항마라톤챔피언십,https://pohangmarathon.com/,2026-04-13,2026-06-30,054-1600-4525
2026 영천댐 마라톤,https://runyc.kr,2026-09-01,2026-09-30,054-331-6029
2026 양산 배내골 애플 런,https://k-marathon.or.kr/main.php,2026-06-15,2026-07-15,070-7766-1238
제11회 송파구청장배 마라톤,http://www.songparunsportal.com,2026-07-01,2026-10-05,010-5071-3432
제5회 거제시체육회장배 거제앵산트레일레이스,http://www.거제앵산트레일레이스.com,2026-06-01,2026-09-30,010-5636-5708
2026 서울구석구석 국제 트레일런,https://cafe.naver.com/seoultrailrun/?viewType=pc,2026-07-02,2026-09-30,070-7719-5788
2026 부산 헤리티지 런,http://heritage.co.kr,2026-08-11,2026-08-31,02-338-6564
경주시육상연맹회장배 마라톤대회,http://xn--289a04w1ifu9bvwfi4b78e.com/resv/competition.php,2026-07-21,2026-10-08,010-3522-6374
제20회 자원봉사 사랑 굿펀 마라톤,http://www.hangangmarathon.kr/,2026-07-27,2026-10-18,1644-4219
2026 춘천마라톤,https://www.chuncheonmarathon.com/,,,
